epoch,stage,train_loss,train_g_loss,train_d_loss,val_psnr,val_ssim,val_lpips,learning_rate_g,learning_rate_d,batch_time,epoch_time,memory_usage,is_best_psnr,is_best_ssim,is_best_lpips
6,gan,0,0.022523132087662816,0.420991441419969,42.447511700524224,0.9650918465521601,0.05596962423115555,0.0001,0.0001,0.19515247376759848,328.3610260486603,0.5758061408996582,True,False,False
7,gan,0,0.022407769069075583,0.4121867048864563,41.50076466242472,0.9583069201045566,0.04084362948277137,0.0001,0.0001,0.19562656275431314,328.02899646759033,0.5751347541809082,False,False,False
8,gan,0,0.022557719790066284,0.4045992896395425,41.38720875337389,0.9555405074954033,0.03850208492840951,0.0001,0.0001,0.1954350004196167,327.23760628700256,0.5745854377746582,False,False,False
9,gan,0,0.022318262960140903,0.40226534673571585,42.26678893534343,0.9651671146816677,0.052852116784132604,0.0001,0.0001,0.1954316733678182,327.03672432899475,0.5742192268371582,False,False,False
10,gan,0,0.022332403941700857,0.39663487508893014,41.47367911317613,0.9598622452815374,0.03757131002175932,0.0001,0.0001,0.19560317627588908,328.3027853965759,0.5745854377746582,False,False,False
11,gan,0,0.0222252493823568,0.3926068699707588,41.47851319673326,0.9605292280316353,0.04559284047399544,0.0001,0.0001,0.1947422431310018,327.50626945495605,0.5746464729309082,False,False,False
12,gan,0,0.02234887147011856,0.4083854209644099,41.445646091037325,0.9580994622243775,0.036029097489805685,0.0001,0.0001,0.19501350625356037,326.96465253829956,0.5752568244934082,False,False,True
13,gan,0,0.02221982455253601,0.40476447667802373,42.286154468960234,0.9639710134665171,0.05244413723491339,0.0001,0.0001,0.1952807723681132,326.8050937652588,0.5747685432434082,False,False,False
14,gan,0,0.02206609764819344,0.3791220205947757,41.90932062954373,0.9635250661306911,0.0470803288369336,0.0001,0.0001,0.19482257890701293,325.9941477775574,0.5765385627746582,False,False,False
15,gan,0,0.02222654716670513,0.410079632870853,42.04095164309608,0.9594361118839847,0.04576173060149368,0.0001,0.0001,0.1950288734436035,327.2691535949707,0.5762333869934082,False,False,False
16,gan,0,0.02257116976380348,0.36911457536245385,40.459300334506565,0.9505999418563313,0.04775745512338148,0.0001,0.0001,0.1954957111676534,328.82189869880676,0.5745854377746582,False,False,False
17,gan,0,0.024882400094221036,0.29242239804379644,40.433602749930486,0.9491969520184729,0.04961448660172108,0.0001,0.0001,0.19488864930470784,326.6300354003906,0.5742802619934082,False,False,False
18,gan,0,0.02537338706975182,0.2533819498028606,40.50713914108276,0.9534593396849103,0.04994185681568666,0.0001,0.0001,0.19571913401285806,327.3408796787262,0.5742802619934082,False,False,False
19,gan,0,0.026886478022982677,0.20791786938129614,39.34163193194072,0.9376167902549107,0.09227721890589843,0.0001,0.0001,0.1956243977546692,329.5140116214752,0.5744633674621582,False,False,False
20,gan,0,0.027388411095986765,0.16735921369834492,40.55762827046712,0.9533754319482379,0.04506238786617501,0.0001,0.0001,0.19586609188715617,328.04665541648865,0.5758671760559082,False,False,False
21,gan,0,0.02718685342123111,0.18415639346515916,40.02853541692098,0.9458724959227773,0.05560777657479048,0.0001,0.0001,0.19562912782033284,326.9902129173279,0.5744633674621582,False,False,False
22,gan,0,0.027640612265715996,0.17121367833658588,40.18270758226183,0.9550182500945197,0.04616442879268692,0.0001,0.0001,0.1950067876180013,327.0770049095154,0.5745854377746582,False,False,False
23,gan,0,0.02997253828495741,0.08767761397305064,39.92750673717923,0.9511941582361857,0.05160354928661966,0.0001,0.0001,0.19538631614049276,327.84115290641785,0.5749516487121582,False,False,False
24,gan,0,0.028415591261039177,0.13652027827877705,39.79371370400323,0.942336843960815,0.059043969113793636,0.0001,0.0001,0.19519324986139933,327.67538952827454,0.5750126838684082,False,False,False
25,gan,0,0.029507928438484668,0.10381502597867318,40.126003285725915,0.950656416296959,0.048945839748303924,0.0001,0.0001,0.19508864816029867,326.761691570282,0.5751347541809082,False,False,False
26,gan,0,0.029410863698770603,0.10949586834169653,38.447774412049185,0.9242279857628876,0.10634793218142456,0.0001,0.0001,0.1953052296638489,327.1755611896515,0.5757451057434082,False,False,False
27,gan,0,0.031362328059971335,0.058130777566462254,39.82325757047865,0.9488947076002757,0.06295164009990792,0.0001,0.0001,0.19576586882273356,328.8383207321167,0.5757451057434082,False,False,False
28,gan,0,0.030917396388947964,0.06798920195443164,40.94133235168457,0.9562515020502939,0.04731676806644019,0.0001,0.0001,0.19478833039601645,327.43451857566833,0.5751957893371582,False,False,False
29,gan,0,0.03008860584596793,0.10443331190032283,40.65916895718045,0.9555800288385815,0.04940336276606346,0.0001,0.0001,0.1953644690513611,328.37682366371155,0.5745854377746582,False,False,False
30,gan,0,0.032509354125708344,0.04181143619955189,39.724297594706215,0.9454027456045151,0.061990547825892764,0.0001,0.0001,0.19672280820210775,332.0775520801544,0.5749516487121582,False,False,False
31,gan,0,0.0306175338588655,0.08251206109220827,39.7534740240309,0.9533703140947554,0.0533401730863067,0.0001,0.0001,0.19501954555511475,328.0806362628937,0.5750126838684082,False,False,False
