epoch,stage,train_loss,train_g_loss,train_d_loss,val_psnr,val_ssim,val_lpips,learning_rate_g,learning_rate_d,batch_time,epoch_time,memory_usage,is_best_psnr,is_best_ssim,is_best_lpips
0,pretrain,0.2555835124850273,0,0,18.49032289505005,0,0,0.0001,0,1.3686533212661742,76.99514102935791,0.44997453689575195,True,False,False
1,pretrain,0.16723150312900542,0,0,19.843726892471313,0,0,0.0001,0,1.263610634803772,72.48236751556396,0.44997453689575195,True,False,False
2,pretrain,0.1416318479180336,0,0,20.843887166976927,0,0,0.0001,0,1.2289110612869263,69.32250475883484,0.44997453689575195,True,False,False
3,pretrain,0.12378081008791923,0,0,21.40586989402771,0,0,0.0001,0,1.2334237432479858,68.82436847686768,0.44997453689575195,True,False,False
4,pretrain,0.11795308321714401,0,0,21.860522947311402,0,0,0.0001,0,1.237158513069153,71.14708089828491,0.44997453689575195,True,False,False
5,pretrain,0.11224634945392609,0,0,22.159251203536986,0,0,0.0001,0,1.2336145544052124,70.17718362808228,0.44997453689575195,True,False,False
6,pretrain,0.10932822361588478,0,0,22.567063808441162,0,0,0.0001,0,1.2274740743637085,68.46203136444092,0.44997453689575195,True,False,False
7,pretrain,0.10369482204318047,0,0,22.963309230804445,0,0,0.0001,0,1.2273517036437989,70.6681261062622,0.44997453689575195,True,False,False
8,pretrain,0.09922455847263337,0,0,21.924275217056273,0,0,0.0001,0,1.2308456897735596,70.25897693634033,0.44997453689575195,False,False,False
9,pretrain,0.09714732825756073,0,0,22.905450954437256,0,0,0.0001,0,1.2310849189758302,68.6189169883728,0.44997453689575195,False,False,False
10,pretrain,0.09305925354361534,0,0,23.522537937164305,0,0,0.0001,0,1.2272086095809938,70.73855352401733,0.44997453689575195,True,False,False
11,pretrain,0.09268243372440338,0,0,23.392636127471924,0,0,0.0001,0,1.2300424003601074,70.37954688072205,0.44997453689575195,False,False,False
12,pretrain,0.08652891658246517,0,0,23.71175108909607,0,0,0.0001,0,1.2276077938079835,68.44874739646912,0.44997453689575195,True,False,False
13,pretrain,0.08739407539367676,0,0,23.657375116348266,0,0,0.0001,0,1.218027400970459,70.25315308570862,0.44997453689575195,False,False,False
14,pretrain,0.0866938054561615,0,0,23.85750705718994,0,0,0.0001,0,1.2281607818603515,69.08886337280273,0.44997453689575195,True,False,False
15,pretrain,0.08527429737150669,0,0,23.938330593109132,0,0,0.0001,0,1.225308780670166,68.35105156898499,0.44997453689575195,True,False,False
16,pretrain,0.08263192638754845,0,0,23.589857549667357,0,0,0.0001,0,1.2277154207229615,70.75489664077759,0.44997453689575195,False,False,False
17,pretrain,0.08341540962457657,0,0,24.01214433670044,0,0,0.0001,0,1.2279662656784058,69.33079791069031,0.44997453689575195,True,False,False
18,pretrain,0.08281782239675523,0,0,24.336330738067627,0,0,0.0001,0,1.238157367706299,69.10188961029053,0.44997453689575195,True,False,False
19,pretrain,0.08141322106122971,0,0,24.46552990913391,0,0,0.0001,0,1.2372209548950195,71.41039180755615,0.44997453689575195,True,False,False
0,gan,0,0.0982454439997673,0.5268763603270054,24.14919584274292,0.6745547497272492,0.41077000424265864,0.0001,0.0001,1.3147458934783935,75.12614941596985,0.7480316162109375,True,True,True
1,gan,0,0.0991687074303627,0.4095538427680731,24.104966983795165,0.6658598506450653,0.3864110280945897,0.0001,0.0001,1.4266646099090576,80.80788254737854,0.7483978271484375,False,False,True
2,gan,0,0.09870188146829605,0.18031370420008896,24.296154594421388,0.6714748904109001,0.36043627206236123,0.0001,0.0001,1.6775422668457032,91.35374522209167,0.7480316162109375,True,False,True
3,gan,0,0.09739515528082848,0.13926078686490656,24.31355216026306,0.6685236325860023,0.33505889508873227,0.0001,0.0001,1.6237530660629274,90.86563038825989,0.7483978271484375,True,False,True
4,gan,0,0.09881791427731514,0.18471506787929684,24.16283435821533,0.6604368191957474,0.3548254356905818,0.0001,0.0001,1.6423624706268312,91.64754033088684,0.7480316162109375,False,False,False
5,gan,0,0.0980924178659916,0.11564504987094551,24.045263605117796,0.6501930141448975,0.34507442481815814,0.0001,0.0001,1.4888826370239259,82.17258048057556,0.7483978271484375,False,False,False
6,gan,0,0.10130439057946206,0.15266074580315034,23.875437240600586,0.6491564881801605,0.35111936923116444,0.0001,0.0001,1.4169199228286744,80.13814067840576,0.7480316162109375,False,False,False
7,gan,0,0.1029388515651226,0.20394831525627524,24.080228271484376,0.6589739385247231,0.3395510885119438,0.0001,0.0001,1.4429088068008422,79.41898274421692,0.7483978271484375,False,False,False
8,gan,0,0.09607664182782173,0.11141522579011508,24.455542030334474,0.6706121414899826,0.35664404328912497,0.0001,0.0001,1.3996562623977662,79.41343688964844,0.7480316162109375,True,False,False
9,gan,0,0.09405135929584503,0.13504122155020012,24.325992259979248,0.6628137066960335,0.3324948424845934,0.0001,0.0001,1.4660368299484252,80.50088667869568,0.7483978271484375,False,False,True
10,gan,0,0.10002932652831077,0.34921071129851045,24.511566457748412,0.67803152769804,0.341299242451787,0.0001,0.0001,1.5279725694656372,83.57527208328247,0.7480316162109375,True,True,False
11,gan,0,0.09481031566858292,0.12644644066225738,23.847983236312867,0.642071985900402,0.32203111056238415,0.0001,0.0001,1.6566804885864257,92.47590804100037,0.7483978271484375,False,False,True
12,gan,0,0.09555639863014222,0.20626537203788758,24.091525230407715,0.6628244769573212,0.32571560084819795,0.0001,0.0001,1.6250102949142455,89.18352103233337,0.7480316162109375,False,False,False
13,gan,0,0.09856141164898873,0.2832239214680158,24.244227018356323,0.6604071065783501,0.3330315550789237,0.0001,0.0001,1.4430187606811524,81.07530403137207,0.7483978271484375,False,False,False
14,gan,0,0.08975030839443207,0.1034272387996316,24.454766178131102,0.6689995542168617,0.311942291893065,0.0001,0.0001,1.4563300704956055,80.32746577262878,0.7480316162109375,False,False,True
15,gan,0,0.09438194468617439,0.17655811763368548,24.420996656417845,0.6718000808358192,0.3164788694679737,0.0001,0.0001,1.5950436973571778,88.61579918861389,0.7483978271484375,False,False,False
16,gan,0,0.0974324905872345,0.11381101119332016,24.142489786148072,0.6511312046647072,0.31853519462049007,0.0001,0.0001,1.4450327444076538,80.19362783432007,0.7480316162109375,False,False,False
17,gan,0,0.09649112865328789,0.14818731009028852,24.448232307434083,0.6648795732855797,0.33806065153330567,0.0001,0.0001,1.4004604053497314,79.45215106010437,0.7483978271484375,False,False,False
18,gan,0,0.09446442656219006,0.13684681294253095,23.99393485069275,0.6544800972938538,0.3444139417260885,0.0001,0.0001,1.4533257627487182,79.90932941436768,0.7480316162109375,False,False,False
19,gan,0,0.09291452884674073,0.22966389038600027,24.565573310852052,0.6809433716535568,0.3377546739391983,0.0001,0.0001,1.4211021375656128,80.31878685951233,0.7483978271484375,True,True,False
20,gan,0,0.09509617984294891,0.057019502496114004,24.352422256469726,0.66779704362154,0.3242352892458439,0.0001,0.0001,1.6843702363967896,92.20970797538757,0.7480316162109375,False,False,False
21,gan,0,0.09531874611973762,0.2741662380611524,24.481044273376465,0.6713866084814072,0.323541045114398,0.0001,0.0001,1.4329231882095337,81.34277391433716,0.7483978271484375,False,False,False
22,gan,0,0.09163221076130867,0.16762799280695617,24.392014608383178,0.6748360309004784,0.3171700003743172,0.0001,0.0001,1.4481296014785767,81.27883720397949,0.7480316162109375,False,False,False
23,gan,0,0.09090700805187225,0.16777761178673245,24.038445806503297,0.65118009775877,0.3245103406533599,0.0001,0.0001,1.3907672739028931,78.79722595214844,0.7483978271484375,False,False,False
24,gan,0,0.09570601850748062,0.19685429834760726,23.167740058898925,0.630261894762516,0.3462761276960373,0.0001,0.0001,1.4314502334594728,78.69957876205444,0.7475433349609375,False,False,False
25,gan,0,0.09536835104227066,0.10934761103009805,24.552958641052246,0.670056540966034,0.3139130091294646,0.0001,0.0001,1.4046947574615478,79.44034051895142,0.7477264404296875,False,False,False
26,gan,0,0.09416809499263763,0.13060675002401695,24.318170185089112,0.670301621556282,0.3231696802005172,0.0001,0.0001,1.4268061923980713,78.9406168460846,0.7477874755859375,False,False,False
27,gan,0,0.09198966577649116,0.1136933380435221,24.100829401016234,0.6580003006756305,0.32810499146580696,0.0001,0.0001,1.445830101966858,80.61831545829773,0.7480316162109375,False,False,False
28,gan,0,0.0978370413184166,0.13139722769963555,24.178162317276,0.6674560931324959,0.3248742214217782,0.0001,0.0001,1.406337146759033,79.5747480392456,0.7487640380859375,False,False,False
29,gan,0,0.09589371621608735,0.16385499705327675,24.34471556663513,0.6623780426383018,0.31694692973047495,0.0001,0.0001,1.4400705766677857,79.12337160110474,0.7468719482421875,False,False,False
30,gan,0,0.09023147255182266,0.22888441526796668,24.545417575836183,0.6810031595826149,0.31922010485082863,0.0001,0.0001,1.4097099924087524,79.86679315567017,0.7469940185546875,False,True,False
31,gan,0,0.08872739300131798,0.1442509775282815,24.652680492401124,0.6807334011793137,0.3211120876297355,0.0001,0.0001,1.4713046598434447,81.1551148891449,0.7477874755859375,True,False,False
32,gan,0,0.09227803647518158,0.09770779906772077,24.60329207420349,0.673064324259758,0.3171418608352542,0.0001,0.0001,1.580596752166748,89.4455292224884,0.7475433349609375,False,False,False
33,gan,0,0.09310080587863923,0.12801535445963963,24.628276309967042,0.6706039687991142,0.31961051911115645,0.0001,0.0001,1.4396777772903442,79.20199799537659,0.7480926513671875,False,False,False
34,gan,0,0.091913470774889,0.13734658430912533,24.156213636398316,0.6587437342107296,0.30174381896853447,0.0001,0.0001,1.4109440279006957,79.18121838569641,0.7487640380859375,False,False,True
35,gan,0,0.09494302690029144,0.2876512713194825,24.791989231109618,0.6897114542126656,0.3047654129564762,0.0001,0.0001,1.4712823677062987,80.71794629096985,0.7480316162109375,True,True,False
36,gan,0,0.09251649141311645,0.10472309657605365,24.050274829864502,0.6566425739228725,0.2913770504295826,0.0001,0.0001,1.6401036548614503,91.5268623828888,0.7482757568359375,False,False,True
37,gan,0,0.09066162340342998,0.17827569743618368,24.31542374610901,0.6662912259995938,0.28968002639710905,0.0001,0.0001,1.5336064147949218,85.42749047279358,0.7473602294921875,False,False,True
38,gan,0,0.09489725217223167,0.10044254768523388,24.109058322906495,0.6580184280872345,0.3015323569625616,0.0001,0.0001,1.655306601524353,92.42079639434814,0.7473602294921875,False,False,False
39,gan,0,0.09574357062578201,0.1146117266616784,24.2941494846344,0.6673044209182263,0.3056014544516802,0.0001,0.0001,1.4846755361557007,83.31151533126831,0.7480316162109375,False,False,False
40,gan,0,0.09360164552927017,0.2382582746143453,24.303674726486207,0.6630232490599155,0.3054540637880564,0.0001,0.0001,1.4758881616592407,81.05564618110657,0.7471771240234375,False,False,False
41,gan,0,0.09084920093417168,0.13526045850710944,24.375176944732665,0.6668725530803203,0.29741826534271243,0.0001,0.0001,1.3999209117889404,79.26361393928528,0.7477264404296875,False,False,False
42,gan,0,0.08896770030260086,0.323492912389338,24.984410133361816,0.6909433256089688,0.29179635886102917,0.0001,0.0001,1.4580632448196411,80.08692741394043,0.7477264404296875,True,True,False
43,gan,0,0.08819263696670532,0.09205886288546025,24.534074087142944,0.6721398828923703,0.29211292739957573,0.0001,0.0001,1.6555794858932495,91.29773664474487,0.7477874755859375,False,False,False
44,gan,0,0.09015299066901207,0.1487447614315897,24.706267995834352,0.6755289018154145,0.29430102260783314,0.0001,0.0001,1.449428071975708,80.76897144317627,0.7480316162109375,False,False,False
45,gan,0,0.08938009455800057,0.2555763341113925,24.735532035827635,0.6769977553188801,0.2880940473265946,0.0001,0.0001,1.485167417526245,84.160893201828,0.7487640380859375,False,False,True
46,gan,0,0.08716032251715661,0.15489583743503318,24.797614002227782,0.6799745766818523,0.2871219061873853,0.0001,0.0001,1.590391993522644,86.80733680725098,0.7468719482421875,False,False,True
47,gan,0,0.08713934481143952,0.15822471347637473,24.95415470123291,0.6848273119330406,0.27111544765532014,0.0001,0.0001,1.4303498649597168,80.8592119216919,0.7469940185546875,False,False,True
48,gan,0,0.0891909396648407,0.13806337149813772,24.928209505081178,0.68275887966156,0.2634845163114369,0.0001,0.0001,1.4841206073760986,83.84257936477661,0.7477874755859375,False,False,True
49,gan,0,0.09049166411161423,0.18215900756651535,24.09565626144409,0.6594289381802082,0.28498421583324673,0.0001,0.0001,1.4838144922256469,81.65840029716492,0.7475433349609375,False,False,False
50,gan,0,0.08958981543779374,0.1233270984236151,24.886593723297118,0.6852364811301231,0.26833981070667506,0.0001,0.0001,1.455655689239502,80.13926720619202,0.7480926513671875,False,False,False
51,gan,0,0.08408280774950981,0.17589808696124237,24.964273700714113,0.6914857739210128,0.28134461749345063,0.0001,0.0001,1.4456208324432374,81.82712483406067,0.7487640380859375,False,True,False
52,gan,0,0.08899891749024391,0.08199036071600858,24.833331394195557,0.6809661254286766,0.2756021347083151,0.0001,0.0001,1.5758589553833007,86.40642619132996,0.7480316162109375,False,False,False
53,gan,0,0.09230264313519002,0.28548189483350145,25.244578676223753,0.6979720595479012,0.26839604252949356,0.0001,0.0001,1.43909574508667,81.44036650657654,0.7482757568359375,True,True,False
